Price,Info,Location
"$15,000","2 bds · 1 ba · 1,296 sqft",505 Eddings St Fulton KY 42041
"$15,000",2 bds · 1 ba · 847 sqft,1705 Prentice St LOUISVILLE KY 40210
"$15,000","1 bd · 1 ba · 1,851 sqft",4117 West Broadway Louisville KY 40211
"$15,000",2 bds · 1 ba · 683 sqft,449 31st St Ashland KY 41101
"$15,000","2 bds · 1 ba · 1,200 sqft",303 Collins Ln Greenup KY 41144
"$15,000","3 bds · 1 ba · 1,596 sqft",310 Old Corinth Rd Corinth KY 41010
"$15,000",2 bds · 1 ba · -- sqft,5150 Georgetown Rd Owenton KY 40359
"$14,990",2 bds · 1 ba · 824 sqft,7385 Hanson Rd HANSON KY 42413
"$14,950","2 bds · 1 ba · 1,134 sqft",2222 Griffiths Ave LOUISVILLE KY 40212
"$14,900","3 bds · 1.5 ba · 2,312 sqft",48 Gates Dr LYNCH KY 40855
"$14,900","3 bds · 1 ba · 1,330 sqft",2807 Shelby Dry Frk SHELBIANA KY 41562
"$14,900","4 bds · 2 ba · 1,536 sqft",657 S Elm St Crab Orchard KY 40419
"$14,900","2 bds · 1 ba · 1,012 sqft",1731 Hale Ave LOUISVILLE KY 40210
"$14,900","4 bds · 1 ba · 1,244 sqft",549 Breckenridge St Stanton KY 40380
"$14,000","2 bds · 1 ba · 1,100 sqft",115 Cornette St DRAKESBORO KY 42337
"$13,900","2 bds · 1 ba · 1,338 sqft",214 E Lyon St MORGANFIELD KY 42437
"$13,600","2 bds · 1 ba · 1,092 sqft",345 Concord Dr White Plains KY 42464
"$13,000",1 bd · 1 ba · 576 sqft,416 E Water St Mayfield KY 42066
"$13,000","3 bds · 1 ba · 1,808 sqft",230 Railroad St Hustonville KY 40437
"$13,000",2 bds · 1 ba · 960 sqft,1537 Gallagher St LOUISVILLE KY 40210
"$12,900","2 bds · 1 ba · 1,062 sqft",640 W Center St Madisonville KY 42431
"$12,800",2 bds · 2 ba · 996 sqft,3425 River Park Dr LOUISVILLE KY 40211
"$12,700",2 bds · 1 ba · 800 sqft,854 Humler St LOUISVILLE KY 40211
"$12,500","3 bds · 2 ba · 1,325 sqft",5478 Us Highway 51 S ARLINGTON KY 42021
"$12,500",1 bd · 1 ba · 768 sqft,2111 Canton St HOPKINSVILLE KY 42240
"$12,500","2 bds · 1 ba · 1,786 sqft",499 Kingston Rd Water Valley KY 42085
"$12,500","3 bds · 1 ba · 1,256 sqft",8560 Cemetery Rd CATLETTSBURG KY 41129
